ID,ID_old,dep_time,weight,density,a,b,c,sphericity,shields
93,073FC4,224.51319444444445,474,2.71,96,74,63,0.8,6.96
94,073FEA,224.51458333333332,384,2.43,80,70,61,0.87,5.51
95,074583,224.51458333333332,204,2.29,71,37,54,0.73,2.63
96,073FB0,224.51458333333332,253,2.39,77,54,50,0.77,4.12
97,073F9E,224.51458333333332,217,2.36,76,52,46,0.75,3.89
98,073F9A,224.51527777777778,373,2.49,101,54,56,0.67,4.42
99,073FC2,224.51527777777778,188,2.07,63,57,47,0.88,3.35
100,073FEE,224.51527777777778,294,2.3,76,49,58,0.79,3.5
101,073FA9,224.51527777777778,282,2.41,76,45,58,0.77,3.5
102,073FCB,224.51527777777778,NA,NA,NA,NA,NA,NA,NA
103,075115,224.51597222222222,677,2.59,100,75,64,0.78,6.58
104,073FCD,224.51597222222222,308,2.46,91,51,46,0.66,4.11
104,073FCD,224.51597222222222,366,2.54,97,70,51,0.72,5.94
105,0745A4,224.51597222222222,271,2.46,88,52,43,0.66,4.19
106,0750DB,224.51736111111111,922,2.78,92,77,72,0.87,7.54
107,075113,224.51736111111111,479,2.47,88,85,50,0.82,6.88
108,075111,224.51736111111111,588,2.56,121,63,55,0.62,5.4
109,0750D5,224.51805555555555,516,2.48,84,77,42,0.77,6.28
110,0750E2,224.51805555555555,949,2.81,116,66,65,0.68,6.57
111,075100,224.51805555555555,908,2.64,151,71,47,0.53,6.41
112,0750F1,224.51944444444445,531,2.66,102,76,53,0.73,6.93
113,07510F,224.51944444444445,848,2.46,110,100,51,0.75,8.03
114,07518B,224.51944444444445,703,2.66,131,73,44,0.57,6.69
115,0756E4,224.52013888888888,1095,2.57,136,93,52,0.64,8.04
116,07514A,224.52013888888888,799,2.64,100,92,52,0.78,8.3
117,0756CF,224.52083333333334,679,2.56,95,68,61,0.77,5.85
118,0756B4,224.52083333333334,692,2.58,85,80,63,0.89,6.97
119,075104,224.52083333333334,764,2.77,118,71,49,0.63,6.91
120,0750D9,224.5222222222222,644,2.44,107,92,52,0.75,7.29
121,075705,224.5222222222222,709,2.84,98,96,73,0.9,9.71
122,0750E6,224.5222222222222,996,2.55,144,80,49,0.57,6.85
123,0750E4,224.52291666666667,492,2.46,97,78,51,0.75,6.27
124,075133,224.52291666666667,514,2.54,102,57,60,0.69,4.85
125,075152,224.52291666666667,631,2.65,97,78,60,0.79,7.09
126,07512B,224.52430555555554,709,2.65,107,70,60,0.72,6.34
127,07514F,224.52430555555554,618,2.6,104,44,41,0.55,3.87
128,0754C8,224.52430555555554,779,2.82,120,75,59,0.67,7.53
